epoch,acc,loss,val_acc,val_loss
0,0.256082346,2.050933534,0.4605,3.776392327
1,0.289893949,1.8083496,0.1955,2.168078148
2,0.368059888,1.611147439,0.2225,1.42107294
3,0.398502807,1.562288956,0.3445,1.474920314
4,0.443668122,1.402513755,0.475,1.269923125
5,0.469993762,1.37081626,0.597,1.253318451
6,0.488022458,1.300236402,0.472,1.24816783
7,0.514722396,1.274347659,0.525,1.333361469
8,0.524391765,1.231435123,0.47,1.286243421
9,0.50492826,1.236381713,0.6255,1.309400142
10,0.530754835,1.189809475,0.6645,1.035063948
11,0.552776045,1.11446065,0.615,1.074652249
12,0.561572052,1.089907356,0.5655,1.143853556
13,0.502432938,1.252262568,0.619,1.245253818
14,0.551777916,1.1162227,0.5605,1.15607549
15,0.573175296,1.039924218,0.653,1.194592467
16,0.563568309,1.065059572,0.641,1.205547837
17,0.5794136,1.017060429,0.655,1.057563505
18,0.583780412,0.980611265,0.566,1.090838217
19,0.590704928,0.981992773,0.6165,1.083302642
20,0.583468497,0.965969085,0.611,1.138026388
21,0.543855271,1.128506308,0.6365,0.963185763
22,0.584903306,0.987054127,0.6765,1.395144341
23,0.602620087,0.9295228,0.5775,1.408267049
24,0.597691828,0.952005854,0.6185,1.119809756
25,0.611353712,0.899949595,0.6925,1.102090252
26,0.616219588,0.851377003,0.6645,0.989424084
27,0.62551466,0.81252033,0.6735,1.181620705
28,0.628384279,0.819620533,0.5015,1.051713297
29,0.634497817,0.777764305,0.716,0.976650137
30,0.636556457,0.776463144,0.634,1.89881021
31,0.651965066,0.73326866,0.763,1.683184324
32,0.65371179,0.736959847,0.52,1.347465726
33,0.655271366,0.716636293,0.675,1.012779843
34,0.666313163,0.698629874,0.6825,1.792971643
35,0.663505926,0.684034074,0.6535,1.047500134
36,0.662819713,0.68419083,0.582,1.073033374
37,0.682283219,0.611195251,0.6985,0.893340075
38,0.67797879,0.634524365,0.6965,0.949834186
39,0.685714286,0.617337218,0.676,1.476807921
40,0.688209607,0.613969679,0.721,0.962676457
41,0.700124766,0.568394239,0.688,1.103048196
42,0.694385527,0.591246919,0.6605,1.032356377
43,0.701122895,0.577525632,0.7255,1.04030258
44,0.699563319,0.575166486,0.7135,1.538317891
45,0.701621959,0.52898969,0.5575,1.271842463
46,0.713100437,0.540070151,0.709,1.081199833
47,0.716905802,0.535198749,0.565,1.500808397
48,0.712850905,0.553869562,0.7135,1.170884815
49,0.729819089,0.475507105,0.7605,1.559433436
50,0.725389894,0.496075233,0.7095,1.862657266
51,0.725389894,0.482011467,0.755,1.073227767
52,0.743231441,0.449429623,0.777,1.166987097
53,0.731191516,0.492244004,0.727,1.231882212
54,0.737492202,0.441745006,0.7625,1.187231177
55,0.73106675,0.471791169,0.7445,1.498736974
56,0.735745477,0.473369447,0.7035,1.270232581
57,0.740299439,0.444899021,0.728,1.216576981
58,0.741921397,0.429156601,0.665,1.668376527
59,0.751840299,0.42516708,0.703,1.5152369
60,0.753150343,0.403874692,0.4605,2.518814322
61,0.749719276,0.413552538,0.757,1.074213206
62,0.758577667,0.408273587,0.698,1.127530931
63,0.774797255,0.344008131,0.753,1.449501681
64,0.767935122,0.382356825,0.678,1.202577448
65,0.763194011,0.393291276,0.69,1.262928291
66,0.783718029,0.345222742,0.707,1.373796165
67,0.766625078,0.382367261,0.7445,1.152026356
68,0.772177168,0.382690864,0.7485,1.062793957
69,0.782345602,0.335739243,0.767,1.630678127
70,0.78353088,0.35465318,0.777,1.207482461
71,0.791890206,0.315040182,0.764,1.333113691
72,0.791391142,0.334843735,0.688,4.094045237
73,0.784217093,0.340646138,0.6805,1.522927579
74,0.804865876,0.280878291,0.659,1.503341535
75,0.792763568,0.307462918,0.7255,1.409875296
76,0.801871491,0.29396023,0.7535,1.58817051
77,0.80492826,0.305261716,0.6855,1.200369008
78,0.812601372,0.261960842,0.63,7.089901452
