epoch,acc,loss,val_acc,val_loss
0,0.655396132,1.228882495,0.6705,5.305145013
1,0.665502183,0.977671567,0.6705,0.965159159
2,0.672738615,0.906893518,0.6805,0.894778994
3,0.674859638,0.875240993,0.6835,0.904773821
4,0.693948846,0.839171408,0.6765,1.21784409
5,0.709295072,0.799400517,0.703,0.856833855
6,0.712663755,0.789218838,0.704,0.756450761
7,0.72613849,0.757537594,0.683,1.275123507
8,0.729881472,0.737648792,0.636,1.410289885
9,0.734497817,0.722976873,0.7,0.835150744
10,0.737616968,0.714310767,0.7255,0.944047213
11,0.747598253,0.688805962,0.7345,0.780579551
12,0.749469744,0.688909835,0.759,0.656978554
13,0.752089832,0.664992285,0.7185,0.768836444
14,0.756331878,0.669581642,0.7245,0.811360743
15,0.762445415,0.649994086,0.7385,0.675639988
16,0.771054273,0.630453811,0.714,0.817663824
17,0.773923893,0.617523722,0.727,0.783029719
18,0.777542109,0.606936023,0.7045,1.030540894
19,0.777791641,0.612003294,0.716,0.803772727
20,0.785527137,0.586049725,0.702,0.840645969
21,0.789020586,0.582087586,0.732,0.722541403
22,0.794260761,0.566269313,0.6435,1.077619369
23,0.798003743,0.54994312,0.7195,0.902210628
24,0.800249532,0.548587045,0.7525,0.693091153
25,0.807735496,0.522008502,0.7705,0.644386588
26,0.810605115,0.505934824,0.7565,0.691965277
27,0.818839676,0.490794354,0.748,0.759512667
28,0.829195259,0.472556782,0.469,1.501699662
29,0.830193387,0.461242294,0.7275,1.183158271
30,0.84404242,0.441044341,0.7155,1.243328388
31,0.845913911,0.417981265,0.755,0.740355216
32,0.850031192,0.411866693,0.721,1.226448635
33,0.854772302,0.388719504,0.742,1.061416494
34,0.85452277,0.399195735,0.6915,2.789901117
35,0.866126014,0.366827208,0.7035,1.495040778
36,0.871865253,0.348839451,0.633,1.272962989
37,0.879475983,0.333200349,0.7435,0.928941463
38,0.884840923,0.321332722,0.748,0.831258825
39,0.892576419,0.291632301,0.7645,0.746646702
40,0.891079226,0.302305468,0.743,1.317351113
41,0.89382408,0.28546791,0.7265,1.234184783
42,0.896943231,0.282775285,0.7465,0.974477489
43,0.906924517,0.256692422,0.7295,1.020870466
44,0.911790393,0.24485317,0.7605,0.889139596
45,0.908796007,0.246878657,0.694,1.020981426
46,0.915408609,0.24847161,0.729,1.417308013
47,0.923767935,0.21419038,0.7655,1.286653676
48,0.921896444,0.216915033,0.6835,1.358633288
49,0.927136619,0.206035194,0.681,1.269195768
50,0.927011853,0.217831607,0.7105,1.197169387
51,0.937741734,0.19046285,0.7065,1.341516098
52,0.931253899,0.195622929,0.746,1.184263054
53,0.9378665,0.182261235,0.753,1.112209564
54,0.93724267,0.183210651,0.7405,1.221341109
55,0.941609482,0.1691137,0.734,1.057914564
56,0.938989395,0.182241132,0.72,2.00184916
57,0.944978166,0.158550316,0.736,1.151861019
58,0.945851528,0.156838702,0.7095,2.438150662
59,0.947598253,0.153861738,0.719,1.07260317
60,0.946849657,0.153557771,0.7405,1.369249913
61,0.948721148,0.147504518,0.7335,1.144029645
62,0.950343107,0.140157642,0.761,1.268670779
63,0.951216469,0.144580002,0.7535,1.422342994
64,0.950467873,0.134430344,0.749,1.564528691
65,0.949469744,0.144247766,0.7705,1.193476716
66,0.95720524,0.123742294,0.721,1.876694167
67,0.95371179,0.129450751,0.6995,2.750785864
68,0.95720524,0.124522707,0.692,1.301654233
69,0.957704304,0.121772486,0.385,2.849709318
,,,0.7705,
